reference	hypA	hypB	annotation
se trouver avec des taux d' intérêt italiens ou espagnols qui va qui va tomber la	se trouver avec des taux d' intérêt italiens ou espagnols qui va qui va qa tomber la	se trouver avec des taux d' intérêt italiens ou espagnols qui va qui va faire tomber la	1
ils vont être obligés d' envoyer des sportives aux jeux olympiques et le qatar même	vont être obligés d' envoyer des sportives aux jeux olympiques et le qatar même	il von être obligé d' envoyer des sportives euh aux jeux olympiques et le catard même	1
ils vont être obligés d' envoyer des sportives aux jeux olympiques et le qatar même	il von être obligé d' envoyer des sportives euh aux jeux olympiques et le catard même	vont être obligés d' envoyer des sportives aux jeux olympiques et le qatar même	0
énerve tout le monde	monarve tout lemonde	ar tout le monde	1
énerve tout le monde	ar tout le monde	monarve tout lemonde	0
on parle beaucoup aussi bien sûr de laure manaudou	parle beaucoup aussi bien sûr de laure manaudou	on parle beaucoup aussi bien sûr de l'aure manoudu	1
on parle beaucoup aussi bien sûr de laure manaudou	on parle beaucoup aussi bien sûr de l'aure manoudu	parle beaucoup aussi bien sûr de laure manaudou	0
où situeriez vous le discours prononcé ce mardi par jean marc ayrault	où se situe voyez vous le discours prononcé ce mardi par jean marc ayrault	euh où situeriez-vous le discours prononcé ce mardi par jean-marc ayrault	0
où situeriez vous le discours prononcé ce mardi par jean marc ayrault	euh où situeriez-vous le discours prononcé ce mardi par jean-marc ayrault	où se situe voyez vous le discours prononcé ce mardi par jean marc ayrault	1
à notre connaissance les dernières exportations donc c' est terminé	a notre connaissance les dernières exportations donc ça s' est terminé	à notre connaissance et les dernières exportations donc ce c' est terminé	1
à notre connaissance les dernières exportations donc c' est terminé	à notre connaissance et les dernières exportations donc ce c' est terminé	a notre connaissance les dernières exportations donc ça s' est terminé	0
un sabotage insupportable	sabotage insupportable	un sabotage euh insupportable	0
un sabotage insupportable	un sabotage euh insupportable	sabotage insupportable	1
pense que vous avez	pense que vous	mantnant ce que vous avez	1
pense que vous avez	mantnant ce que vous avez	pense que vous	0
on voit dans les rues il y a de plus en plus de monde	voit dans les rues il y a de plus en plus de monde	on le voit dans les rues il y a de plus en plus de monde	0
on voit dans les rues il y a de plus en plus de monde	on le voit dans les rues il y a de plus en plus de monde	voit dans les rues il y a de plus en plus de monde	1
qu' elle est l' ambiance en haut monsieur	quelle était l' ambiance en vous monsieur	quelle était l' ambiance pour vous monsieur	0
qu' elle est l' ambiance en haut monsieur	quelle était l' ambiance pour vous monsieur	quelle était l' ambiance en vous monsieur	1
florence alors à la une des hebdos anne lauvergeon sans état d' âme	bougies alors à la une des hebdos anne lauvergeon sans états d' âme	florence no rog alors à la une des hebdos anne lauvergon sans états d' âme	0
florence alors à la une des hebdos anne lauvergeon sans état d' âme	florence no rog alors à la une des hebdos anne lauvergon sans états d' âme	bougies alors à la une des hebdos anne lauvergeon sans états d' âme	1
dit maintenant ok je mets je remets les pendules à l' heure et c' est nécessaire	dit maintenant auquel je mets je remets les pendules à leur et c' est nécessaire	duit maintenant ok je mets je remets les pendules à l' heur et c' était nécessaire	0
dit maintenant ok je mets je remets les pendules à l' heure et c' est nécessaire	duit maintenant ok je mets je remets les pendules à l' heur et c' était nécessaire	dit maintenant auquel je mets je remets les pendules à leur et c' est nécessaire	1
on disait c' est une marque vieillissante un peu datée ils font des voitures maintenant formidable la ds3 la ds4	euh on disait c' est une marque vieillissante un peu datée ils font des voitures maintenant formidables la ds trois la ds quatre	euh on disait c' est une marque vieillisseante un peu datée il font des voitures maintenant formidable la dstroi à la dsk	1
on disait c' est une marque vieillissante un peu datée ils font des voitures maintenant formidable la ds3 la ds4	euh on disait c' est une marque vieillisseante un peu datée il font des voitures maintenant formidable la dstroi à la dsk	euh on disait c' est une marque vieillissante un peu datée ils font des voitures maintenant formidables la ds trois la ds quatre	0
se bouffent le nez sur place	euh se bouff le nez sur place euh	euh se boufe le nez sur place euh	0
se bouffent le nez sur place	euh se boufe le nez sur place euh	euh se bouff le nez sur place euh	1
dans le quinquennat précédent donc vous voyez	le quinquennat précédent dont vous voyez	dans le quinquennat u précédent donc vous voyez euh	0
dans le quinquennat précédent donc vous voyez	dans le quinquennat u précédent donc vous voyez euh	le quinquennat précédent dont vous voyez	1
il a suivi la	de suivi la	beh si vous êtes	1
il a suivi la	beh si vous êtes	de suivi la	0
coûte bien évidemment et nous assumons ces dépenses	bien évidemment puis et nous assumons ces dépenses	coûte bien évidemment puisk et il nous assumions ces dépenses	1
coûte bien évidemment et nous assumons ces dépenses	coûte bien évidemment puisk et il nous assumions ces dépenses	bien évidemment puis et nous assumons ces dépenses	0
et puis de toute façon roger moore qu' on se le dise il a quelque chose en plus	et puis toute façon roger mour qu' on se le dise il a quelque chose en plus	et puis de toute façon roger mour qu' on se le dise il a quelque chose en plus	0
et puis de toute façon roger moore qu' on se le dise il a quelque chose en plus	et puis de toute façon roger mour qu' on se le dise il a quelque chose en plus	et puis toute façon roger mour qu' on se le dise il a quelque chose en plus	1
le président ne sera pas là avant dix minutes	le président ne sera pas là ban diminuer	le président na sera pas là vant timiné	0
le président ne sera pas là avant dix minutes	le président na sera pas là vant timiné	le président ne sera pas là ban diminuer	1
ensuite est ce qu' il va pouvoir violer son caractère profond	ensuite est-ce qu' i(l va pouvoir euh eu violer son caractère profond	ensuite est-ce qu i va pouvoir euh eh violer son caractère profond	1
ensuite est ce qu' il va pouvoir violer son caractère profond	ensuite est-ce qu i va pouvoir euh eh violer son caractère profond	ensuite est-ce qu' i(l va pouvoir euh eu violer son caractère profond	0
son gendre thierry rey son ex gendre	son gendrere tierrirait son ex-gendrere	son genre tirirait son ex-gendre	1
son gendre thierry rey son ex gendre	son genre tirirait son ex-gendre	son gendrere tierrirait son ex-gendrere	0
et pourtant dans une autre vie stefano sollima était journaliste désormais le voilà réalisateur et un grand	et pourtant dans une autre vise stéphano-soline a été journaliste désormais le voilà réalisateur et un grand	et pourtant dans une autre vie stéphane ossolima était journaliste désormais le voilà réalisateur et un grand	0
et pourtant dans une autre vie stefano sollima était journaliste désormais le voilà réalisateur et un grand	et pourtant dans une autre vie stéphane ossolima était journaliste désormais le voilà réalisateur et un grand	et pourtant dans une autre vise stéphano-soline a été journaliste désormais le voilà réalisateur et un grand	1
taubira garde des sceaux ministre de la justice	obira garde des sceaux ministre de la justice	(sobira garde des sceaux ministre de la justice	1
taubira garde des sceaux ministre de la justice	(sobira garde des sceaux ministre de la justice	obira garde des sceaux ministre de la justice	0
reste qu' arcelormittal n' est pas encore décidé à céder ce site dans sa globalité	reste car cel hormital n' est pas encore décidé à céder ce site dans sa globalité	reste car c' est l' hormittal n' est pas encore décidé à céder ce site dans sa globalité	1
reste qu' arcelormittal n' est pas encore décidé à céder ce site dans sa globalité	reste car c' est l' hormittal n' est pas encore décidé à céder ce site dans sa globalité	reste car cel hormital n' est pas encore décidé à céder ce site dans sa globalité	0
bonjour à tous et bienvenue dans lcp actu nous sommes le lundi vingt six novembre voici les titres	bonjour à tous et bienvenue dans lcpactu nous sommes le lundi vingt six novembre voici les titres	bonjour à tous et bienvenue dans lcpe actu nous sommes le lundi vingt six novembre voici les titres	1
bonjour à tous et bienvenue dans lcp actu nous sommes le lundi vingt six novembre voici les titres	bonjour à tous et bienvenue dans lcpe actu nous sommes le lundi vingt six novembre voici les titres	bonjour à tous et bienvenue dans lcpactu nous sommes le lundi vingt six novembre voici les titres	0
un grand oral sans surprise mais un moyen pour les petits candidats de se faire entendre	grand oral sans surprise mais un moyen pour les petits candidats de se faire entendre	un grand toral sans surprise mais un moyen pour les petits candidats de se faire entendre	1
un grand oral sans surprise mais un moyen pour les petits candidats de se faire entendre	un grand toral sans surprise mais un moyen pour les petits candidats de se faire entendre	grand oral sans surprise mais un moyen pour les petits candidats de se faire entendre	0
non mais j' ai pas dis ça	non mais j' ai pas dit ça	non mais j' ai pas de ça	1
non mais j' ai pas dis ça	non mais j' ai pas de ça	non mais j' ai pas dit ça	0
nous n' accepterons aucune leçon	n' acceptons aucune leçon	nous n' acceptons aucune le sons	1
nous n' accepterons aucune leçon	nous n' acceptons aucune le sons	n' acceptons aucune leçon	0
la descente aux enfers dans la drogue ensuite pour l' homme delarue et puis nous serons en direct de nice	descente aux enfers la drogue ensuite pour l' homme de la rue et puis nous serons en direct de nice	la descente aux enfères dans la drogue ensuite pour euh l' homme de la rue et puis nous serons en direct de nice	0
la descente aux enfers dans la drogue ensuite pour l' homme delarue et puis nous serons en direct de nice	la descente aux enfères dans la drogue ensuite pour euh l' homme de la rue et puis nous serons en direct de nice	descente aux enfers la drogue ensuite pour l' homme de la rue et puis nous serons en direct de nice	1
mais c' est vos	mais c' est beau(	mais c' est vous	0
mais c' est vos	mais c' est vous	mais c' est beau(	1
nous avons buzz aldrin qui était hier à paris	nous avons peux aldrich qui était hier à paris	nous avons peu à aldrine qui était hier à paris	0
nous avons buzz aldrin qui était hier à paris	nous avons peu à aldrine qui était hier à paris	nous avons peux aldrich qui était hier à paris	1
pas le pas l' avis général	pas le pas la vie génaire	pas le pas la viinaire	1
pas le pas l' avis général	pas le pas la viinaire	pas le pas la vie génaire	0
filet de sécurité maintenu	pilet de sécurité maintenu euh	illies de sécurité maintenue euh	1
filet de sécurité maintenu	illies de sécurité maintenue euh	pilet de sécurité maintenu euh	0
propos recueillis par thomas soulié et julia le correc j' accueille tout de suite florence muracciole bonjour	propos recueillis par thomas soulié julia le correc jacques est toute petite florence muracciole bonjour	propos recueillis par thomas soulié et julian le correc j' accueille tout de suite florence muracciole bonjour	0
propos recueillis par thomas soulié et julia le correc j' accueille tout de suite florence muracciole bonjour	propos recueillis par thomas soulié et julian le correc j' accueille tout de suite florence muracciole bonjour	propos recueillis par thomas soulié julia le correc jacques est toute petite florence muracciole bonjour	1
vous vous et vous vous aimez la cuisine vous êtes vous coulée dans ce rôle très facilement	vous et vous aimez la cuisine vous êtes dans ce rôle très facilement	vous vous aiz) vous vous aimez la cuisine vous êtes euh coulé dans ce rôle euh très facilement	0
vous vous et vous vous aimez la cuisine vous êtes vous coulée dans ce rôle très facilement	vous vous aiz) vous vous aimez la cuisine vous êtes euh coulé dans ce rôle euh très facilement	vous et vous aimez la cuisine vous êtes dans ce rôle très facilement	1
soit on s' écoute à tour de rôle soit on se coupe la parole	soit on s' écoute un tour de rôle soit on se coupe la parole	suoi on s' écoute un tour de rôle j soit on se coupe la parole	1
soit on s' écoute à tour de rôle soit on se coupe la parole	suoi on s' écoute un tour de rôle j soit on se coupe la parole	soit on s' écoute un tour de rôle soit on se coupe la parole	0
pour évacuer son stress le producteur a un truc imparable	pour exacuaison stress le producteur un truc imparable	pour évacuer son stress le producteur un truc infarable	0
pour évacuer son stress le producteur a un truc imparable	pour évacuer son stress le producteur un truc infarable	pour exacuaison stress le producteur un truc imparable	1
le clip de l' apocalypse	de l' apocalypse	le cyp de l' apocalypse	0
le clip de l' apocalypse	le cyp de l' apocalypse	de l' apocalypse	1
à nos résultats	nos résultats	un non résultat	1
à nos résultats	un non résultat	nos résultats	0
et vous savez pourquoi parce que ces fameux entrepreneurs de start up	et vous savez pourquoi parce que ces fameux entrepreneurs de starup	et vous savez pourquoi parce que ces fameux entrepreneurs de startop	0
et vous savez pourquoi parce que ces fameux entrepreneurs de start up	et vous savez pourquoi parce que ces fameux entrepreneurs de startop	et vous savez pourquoi parce que ces fameux entrepreneurs de starup	1
aidez moi à faire du vingt deux avril une surprise	aidezm moi à faire du vingt deux avril une surprise	et des mois àfin du vingt deux avril une surprise	1
aidez moi à faire du vingt deux avril une surprise	et des mois àfin du vingt deux avril une surprise	aidezm moi à faire du vingt deux avril une surprise	0
pas le pas l' avis général	pas le pas la visionnaire	pas le pas la viinie	0
pas le pas l' avis général	pas le pas la viinie	pas le pas la visionnaire	1
pas de mobilisation véritablement là on voit comment ça peut ça peut prendre	une fois de mobilisation véritablement là on voit comment euh ça peut euh ça peut prendre	en)fin de mobilisation véritablement là on voit comment euh ça peut euh ça peut prendre	1
pas de mobilisation véritablement là on voit comment ça peut ça peut prendre	en)fin de mobilisation véritablement là on voit comment euh ça peut euh ça peut prendre	une fois de mobilisation véritablement là on voit comment euh ça peut euh ça peut prendre	0
ça y est les stones ont posé leurs amplis aux etats unis	ça y est l' histon s' oppose et l' ensemble aux états-unis	sayer les stones sont posées leursemble aux états-unis	0
ça y est les stones ont posé leurs amplis aux etats unis	sayer les stones sont posées leursemble aux états-unis	ça y est l' histon s' oppose et l' ensemble aux états-unis	1
l' ensemble des forces qui consitue le front de gauche	euh l' ensemble des forces qui constitue le front de gauche	euh l' ensemble des forces qui constituent le front de gauche	1
l' ensemble des forces qui consitue le front de gauche	euh l' ensemble des forces qui constituent le front de gauche	euh l' ensemble des forces qui constitue le front de gauche	0
oui mais je je crois ne qu' est ce que	oui mais je je crois une qu' est ce que	oui mais je je crois ne qu' est-ce que	0
oui mais je je crois ne qu' est ce que	oui mais je je crois ne qu' est-ce que	oui mais je je crois une qu' est ce que	1
à gauche on retient son souffle pour mieux laisser éclater sa joie reportage d' aurélien romano	gauche on retient son souffle pour mieux laisser éclater sa joie reportage de aurélien romano	à gauche on retient son souffle pour mieux laisser éclater sa joie reportage d' relien romano	0
à gauche on retient son souffle pour mieux laisser éclater sa joie reportage d' aurélien romano	à gauche on retient son souffle pour mieux laisser éclater sa joie reportage d' relien romano	gauche on retient son souffle pour mieux laisser éclater sa joie reportage de aurélien romano	1
mario draghi considère que cette irréversibilité	rio draguui considère que cette irréversibilité	au dragui considère que cette irréversibilité	1
mario draghi considère que cette irréversibilité	au dragui considère que cette irréversibilité	rio draguui considère que cette irréversibilité	0
par les entreprises à zéro un pour cent	les entreprises à zéro un pour cent	par les entreprises à zéro un pourcent	0
par les entreprises à zéro un pour cent	par les entreprises à zéro un pourcent	les entreprises à zéro un pour cent	1
est avancé chez les socialistes comme premier premier ministre possible de françois hollande bien sûr s' il est élu	est avancée chez socialistes comme premier pro pour le premier ministre possible de françois hollande bien sûr s' il est élu	est avancée chez les socialistes comme premier pro()) pro) euh premier ministre possible de françois hollande bien sûr s' il est élu	0
est avancé chez les socialistes comme premier premier ministre possible de françois hollande bien sûr s' il est élu	est avancée chez les socialistes comme premier pro()) pro) euh premier ministre possible de françois hollande bien sûr s' il est élu	est avancée chez socialistes comme premier pro pour le premier ministre possible de françois hollande bien sûr s' il est élu	1
levez vous s' il vous plaît et puis enfin laurent neumann pour marianne bonjour	levezvous s' il vous plaît et puis enfin laurent neumann pour marianne bonjour	levnez-vous s' il vous plaît et puis enfin laurent neumann pour marianne bonjour	1
levez vous s' il vous plaît et puis enfin laurent neumann pour marianne bonjour	levnez-vous s' il vous plaît et puis enfin laurent neumann pour marianne bonjour	levezvous s' il vous plaît et puis enfin laurent neumann pour marianne bonjour	0
alors on on a en souvenir pékin bien entendu c' était politique mais alors londres	alors on en souvenir pékin bien entendu c' était politique mais alors londres	euh alors on on a en souvenir euh pékin bien entendu c' était politique mais alors londres	0
alors on on a en souvenir pékin bien entendu c' était politique mais alors londres	euh alors on on a en souvenir euh pékin bien entendu c' était politique mais alors londres	alors on en souvenir pékin bien entendu c' était politique mais alors londres	1
il fait une bonne campagne une une campagne de de mobilisation	il fait une bonne campagne une campagne de mobilisation	euh il fait une bonne campagne une une campagne de de mobilisation	1
il fait une bonne campagne une une campagne de de mobilisation	euh il fait une bonne campagne une une campagne de de mobilisation	il fait une bonne campagne une campagne de mobilisation	0
écologiste au sénat jean vincent placé sera mon invité ce soir	écologiste au sénat j' on va s' en placer sera mon invité ce soir	écologiste au sénat j' en va s' emplacer sera mon invité ce soir	0
écologiste au sénat jean vincent placé sera mon invité ce soir	écologiste au sénat j' en va s' emplacer sera mon invité ce soir	écologiste au sénat j' on va s' en placer sera mon invité ce soir	1
honoré au festival lumière le réalisateur qu' on sait engagé en a profité pour se révolter	honoé au festival lumière le réalisateur conait engagé en a profité pour se révolter	honorée au festival lumière le réalisateur conçait engagé en a profité pour se révolter	0
honoré au festival lumière le réalisateur qu' on sait engagé en a profité pour se révolter	honorée au festival lumière le réalisateur conçait engagé en a profité pour se révolter	honoé au festival lumière le réalisateur conait engagé en a profité pour se révolter	1
dans une dans une philosophie	dans une e dans une e f) philosophie	dans une euh dans une euh( philosophie	0
dans une dans une philosophie	dans une euh dans une euh( philosophie	dans une e dans une e f) philosophie	1
oui bon côté imitation c' est pas encore exactement ça	côté imitations c' est pas encore exactement ça	oui sport côté limitation c' est pas encore exactement ça	1
oui bon côté imitation c' est pas encore exactement ça	oui sport côté limitation c' est pas encore exactement ça	côté imitations c' est pas encore exactement ça	0
pour se libérer des idées reçues qu' elle avait sans doute auparavant sur l' homosexualité	pour euh se libérer des idées reçues qu' elle avait sans doute auparavant sur l' homosexualiste	pour euh se libérer des idées reçues qu' elle avait sans doute auparavant sur le mossé extraordinaire	1
pour se libérer des idées reçues qu' elle avait sans doute auparavant sur l' homosexualité	pour euh se libérer des idées reçues qu' elle avait sans doute auparavant sur le mossé extraordinaire	pour euh se libérer des idées reçues qu' elle avait sans doute auparavant sur l' homosexualiste	0
il y en a trois qui sont célibataires	il y en a trois ans célibataire	euh il y en a trois pas qui sont célibataires	0
il y en a trois qui sont célibataires	euh il y en a trois pas qui sont célibataires	il y en a trois ans célibataire	1
c' était le mouvement de résistance défense de la france	c' était le mouvement de résistance des forces de la france	euh c' était le mouvement de résistance défense de de la france	0
c' était le mouvement de résistance défense de la france	euh c' était le mouvement de résistance défense de de la france	c' était le mouvement de résistance des forces de la france	1
il va être déposé	il va être dép()	il va être dép(t)	1
il va être déposé	il va être dép(t)	il va être dép()	0
écoutez c' est hamas qui a commencé à bombarder	écoutez c' est un masse qui a commencé à bombarder	écoutez c' est amas qui a commencé à bombarder	0
écoutez c' est hamas qui a commencé à bombarder	écoutez c' est amas qui a commencé à bombarder	écoutez c' est un masse qui a commencé à bombarder	1
à sa à sa à sa dimension et et eut égard aux crises que nous lui connaissons	à à sa à sa à sa dimension et et eu égard aux crises que nous connaissons	à à sa) à sa à sa dimension et et eu égard aux crises que nous connaissons	1
à sa à sa à sa dimension et et eut égard aux crises que nous lui connaissons	à à sa) à sa à sa dimension et et eu égard aux crises que nous connaissons	à à sa à sa à sa dimension et et eu égard aux crises que nous connaissons	0
entre jean louis debré et nicolas sarkozy ils se sont croisés tous les deux	entre jean-louis debré nicolas sarkozy se sont croisés tous les deux	entre jean-louis debré et nicolas sarkozy se sont croisés tous les deux	0
entre jean louis debré et nicolas sarkozy ils se sont croisés tous les deux	entre jean-louis debré et nicolas sarkozy se sont croisés tous les deux	entre jean-louis debré nicolas sarkozy se sont croisés tous les deux	1
mais est ce que ces entreprises françaises comme cosmos savaient comment le régime utilisait leur martel leur matériel	ce que ces entreprises françaises comme kosmos savait comment le régime utiliser leur martèle leur matériel	et 'ai est-ce que ces entreprises françaises comme euh cosmos savaient euh comment le régime utilisait leur marté() leur matériel	0
mais est ce que ces entreprises françaises comme cosmos savaient comment le régime utilisait leur martel leur matériel	et 'ai est-ce que ces entreprises françaises comme euh cosmos savaient euh comment le régime utilisait leur marté() leur matériel	ce que ces entreprises françaises comme kosmos savait comment le régime utiliser leur martèle leur matériel	1
tués par les nazis et je crois	tué par les nazi() euh je crois	tues pas les nasi euh je crois	1
tués par les nazis et je crois	tues pas les nasi euh je crois	tué par les nazi() euh je crois	0
quels dégats pourraient provoquer ces armes chimiques	quel dégât pourrait provoquer ses armes chimiques	quel dégâts pourrait provoquer ces armes chimiques	0
quels dégats pourraient provoquer ces armes chimiques	quel dégâts pourrait provoquer ces armes chimiques	quel dégât pourrait provoquer ses armes chimiques	1
par l' armée	l' armée	par euh l' armée	0
par l' armée	par euh l' armée	l' armée	1
priorité nous sommes nous sommes	priori ça ne vous allez en choisissant m	priorité nous sommesan nous sommes	0
priorité nous sommes nous sommes	priorité nous sommesan nous sommes	priori ça ne vous allez en choisissant m	1
alors parlons un peu gros sous parce que on peut pas s' empêcher de regarder quand même la facture annoncée	alors parlons un peu gros sou parce que on peut pas s' empêcher de regarder quand même la facture annoncée	alors parlons un peu grossou parce que on peut pas s' empêcher de regarder quand même la facture annoncée	1
alors parlons un peu gros sous parce que on peut pas s' empêcher de regarder quand même la facture annoncée	alors parlons un peu grossou parce que on peut pas s' empêcher de regarder quand même la facture annoncée	alors parlons un peu gros sou parce que on peut pas s' empêcher de regarder quand même la facture annoncée	0
nous avons buzz aldrin qui était hier à paris	nous avons peux aldrich qui était hier à paris	nous avons bez al dren qui était hier à paris	0
nous avons buzz aldrin qui était hier à paris	nous avons bez al dren qui était hier à paris	nous avons peux aldrich qui était hier à paris	1
c' était on le présente aujourd'hui comme l' un des meilleurs animateurs radio et télé de sa génération malheureusement	c' était on le présente aujourd' hui comme un des meilleurs animateurs radios et télé de sa génération malheureusement	c' était on le présente aujourd' hui comme l' un des meilleurs animateurs radio est élé de sa génération malheureusement	1
c' était on le présente aujourd'hui comme l' un des meilleurs animateurs radio et télé de sa génération malheureusement	c' était on le présente aujourd' hui comme l' un des meilleurs animateurs radio est élé de sa génération malheureusement	c' était on le présente aujourd' hui comme un des meilleurs animateurs radios et télé de sa génération malheureusement	0
n' ont plus le même âge	non ont plus le même âge	nont plus le même a	1
n' ont plus le même âge	nont plus le même a	non ont plus le même âge	0
places à vendre	à vendre	place à vendre	0
places à vendre	place à vendre	à vendre	1
une forme de protectionnisme européen sur les produits venus de l' extérieur	de protectionnisme européen sur les produits laitiers	forme de proteionnis fonds européen sur les produitsri	1
une forme de protectionnisme européen sur les produits venus de l' extérieur	forme de proteionnis fonds européen sur les produitsri	de protectionnisme européen sur les produits laitiers	0
c' est pas si simple à utiliser	je ne sais pas si simple utiliser	mais c' est pas si simple à utiliser	0
c' est pas si simple à utiliser	mais c' est pas si simple à utiliser	je ne sais pas si simple utiliser	1
couacs quand enfin vous pouvez pas dire	quoi quand je je pouvais pas dire	quoi quand a a vous pouvez pas dire	0
couacs quand enfin vous pouvez pas dire	quoi quand a a vous pouvez pas dire	quoi quand je je pouvais pas dire	1
le jour le plus court c' est bien pour aller voir les films les plus courts	jean-louis cours c' est bien pour les valeurs qui étaient depuis tou	jan-a blu cour c' est bien pour aller voir les films u plus court	0
le jour le plus court c' est bien pour aller voir les films les plus courts	jan-a blu cour c' est bien pour aller voir les films u plus court	jean-louis cours c' est bien pour les valeurs qui étaient depuis tou	1
et de la fortune et du parti elle ne vient pas de nulle part	et de la fortune et du parti tout elle ne vient pas de nulle part	et de la fortune du parti elle ne vient pas de nulle part	1
et de la fortune et du parti elle ne vient pas de nulle part	et de la fortune du parti elle ne vient pas de nulle part	et de la fortune et du parti tout elle ne vient pas de nulle part	0
coûté d' ailleurs à la majorité une partie de sa défaite de	écûté d' ailleurs à la majorité une partie de sa défaite de	(é)couter d' ailleurs à la majorité e une partie de sa défaite de	0
coûté d' ailleurs à la majorité une partie de sa défaite de	(é)couter d' ailleurs à la majorité e une partie de sa défaite de	écûté d' ailleurs à la majorité une partie de sa défaite de	1
alors est ce que c' est pas facteur de zizanie de discorde au sein d' un mouvement	est ce que c' est pas un facteur de zizanie de discorde au sein d' un mouvement	alors est-ce que c' est pas n facteur de zizanie de discorde au sein d' un mouvement	0
alors est ce que c' est pas facteur de zizanie de discorde au sein d' un mouvement	alors est-ce que c' est pas n facteur de zizanie de discorde au sein d' un mouvement	est ce que c' est pas un facteur de zizanie de discorde au sein d' un mouvement	1
mais ce coup de sécateur était imbécile	mais ce coup de ces qa teurs était un	mais ce coup de setateur était	0
mais ce coup de sécateur était imbécile	mais ce coup de setateur était	mais ce coup de ces qa teurs était un	1
l' émotion du choc est un peu un peu redescendue et	qui est un peu un peu tendu et hum	l' émotion euh plus choc et un veu un peu en descendu et euh	0
l' émotion du choc est un peu un peu redescendue et	l' émotion euh plus choc et un veu un peu en descendu et euh	qui est un peu un peu tendu et hum	1
une réunion d' enfants de la chiraquie avec pour ambition la présidentielle de deux mille dix sept	une réunion d' enfants de la chiraquie avaient pour ambition la présidentielle de deux mille dix sept	une réunion d' enfants de la chiraquie avec pour ambition la présidentielle de deux milles dix-sept	0
une réunion d' enfants de la chiraquie avec pour ambition la présidentielle de deux mille dix sept	une réunion d' enfants de la chiraquie avec pour ambition la présidentielle de deux milles dix-sept	une réunion d' enfants de la chiraquie avaient pour ambition la présidentielle de deux mille dix sept	1
